DATE,JPNCPIALLMINMEI,JPNPROINDMISMEI,INTDSRJPM193N
1994-01-01,97.2257571901247,94.51430858818,1.75
1994-02-01,97.2257571901247,95.3255902069627,1.75
1994-03-01,97.7347925680835,96.339692230441,1.75
1994-04-01,97.938406719267,97.2523840515716,1.75
1994-05-01,98.0402137948588,97.1509738492237,1.75
1994-06-01,97.6329854924917,98.3678962773977,1.75
1994-07-01,97.123950114533,99.381998300876,1.75
1994-08-01,97.6329854924917,100.193279919659,1.75
1994-09-01,97.938406719267,99.1791778961804,1.75
1994-10-01,98.345635021634,100.193279919659,1.75
1994-11-01,98.0402137948588,100.801741133746,1.75
1994-12-01,97.8365996436752,101.51161255018,1.75
1995-01-01,97.8365996436752,99.4834085032239,1.75
1995-02-01,97.5311784169,100.903151336094,1.75
1995-03-01,97.4293713413082,101.917253359572,1.75
1995-04-01,97.7347925680835,103.134175787746,1
1995-05-01,97.938406719267,101.410202347833,1
1995-06-01,97.8365996436752,101.308792145485,1
1995-07-01,97.3275642657165,99.8890493126152,1
1995-08-01,97.4293713413082,101.410202347833,1
1995-09-01,98.0402137948588,99.7876391102674,0.5
1995-10-01,97.7347925680835,101.308792145485,0.5
1995-11-01,97.4293713413082,102.120073764268,0.5
1995-12-01,97.4293713413082,103.438406394789,0.5
1996-01-01,97.3275642657165,101.917253359572,0.5
1996-02-01,97.123950114533,101.815843157224,0.5
1996-03-01,97.3275642657165,101.714432954876,0.5
1996-04-01,97.938406719267,102.01866356192,0.5
1996-05-01,98.1420208704505,102.627124776007,0.5
1996-06-01,97.8365996436752,102.829945180702,0.5
1996-07-01,97.7347925680835,103.438406394789,0.5
1996-08-01,97.6329854924917,103.539816597137,0.5
1996-09-01,98.0402137948588,104.655328822963,0.5
1996-10-01,98.2438279460422,105.26379003705,0.5
1996-11-01,97.938406719267,105.770841048789,0.5
1996-12-01,98.0402137948588,106.784943072268,0.5
1997-01-01,97.938406719267,108.407506309833,0.5
1997-02-01,97.7347925680835,108.407506309833,0.5
1997-03-01,97.8365996436752,108.813147119224,0.5
1997-04-01,99.7709340799186,106.075071655833,0.5
1997-05-01,99.9745482311021,109.218787928616,0.5
1997-06-01,99.9745482311021,108.610326714529,0.5
1997-07-01,99.567319928735,108.914557321572,0.5
1997-08-01,99.6691270043268,108.407506309833,0.5
1997-09-01,100.381776533469,107.697634893398,0.5
1997-10-01,100.687197760244,106.987763476963,0.5
1997-11-01,99.9745482311021,105.669430846442,0.5
1997-12-01,99.7709340799186,104.655328822963,0.5
1998-01-01,99.6691270043268,106.194264181417,0.5
1998-02-01,99.567319928735,103.430449498017,0.5
1998-03-01,99.9745482311021,101.198137638347,0.5
1998-04-01,100.178162382286,100.985536508855,0.5
1998-05-01,100.483583609061,100.241432555632,0.5
1998-06-01,100.076355306694,100.241432555632,0.5
1998-07-01,99.4655128531433,100.02883142614,0.5
1998-08-01,99.3637057775516,98.2217218254549,0.5
1998-09-01,100.178162382286,99.4973286024089,0.5
1998-10-01,100.890811911428,98.965825778678,0.5
1998-11-01,100.789004835836,98.4343229549472,0.5
1998-12-01,100.381776533469,98.3280223902011,0.5
1999-01-01,99.8727411555103,99.603629167155,0.5
1999-02-01,99.4655128531433,99.603629167155,0.5
1999-03-01,99.567319928735,100.879235944109,0.5
1999-04-01,100.076355306694,99.1784269081704,0.5
1999-05-01,100.076355306694,100.772935379363,0.5
1999-06-01,99.7709340799186,100.02883142614,0.5
1999-07-01,99.3637057775516,100.56033424987,0.5
1999-08-01,99.6691270043268,101.517039332586,0.5
1999-09-01,99.9745482311021,102.261143285809,0.5
1999-10-01,100.178162382286,102.154842721063,0.5
1999-11-01,99.567319928735,103.217848368525,0.5
1999-12-01,99.2618987019598,103.111547803778,0.5
2000-01-01,99.160091626368,103.005247239032,0.5
2000-02-01,98.8546703995928,102.898946674286,0.5
2000-03-01,99.0582845507763,104.387154580732,0.5
2000-04-01,99.2618987019598,105.981663051925,0.5
2000-05-01,99.3637057775516,105.343859663448,0.5
2000-06-01,99.160091626368,106.725767005148,0.5
2000-07-01,98.8546703995928,106.513165875656,0.5
2000-08-01,99.160091626368,108.001373782102,0.5
2000-09-01,99.0582845507763,105.769061922433,0.5
2000-10-01,99.0582845507763,107.363570393625,0.5
2000-11-01,98.752863324001,107.78877265261,0.5
2000-12-01,98.8546703995928,108.851778300071,0.5
2001-01-01,98.8546703995928,104.812356839717,0.5
2001-02-01,98.5492491728175,105.769061922433,0.35
2001-03-01,98.4474420972258,103.961952321748,0.25
2001-04-01,98.5492491728175,103.217848368525,0.25
2001-05-01,98.6510562484093,101.198137638347,0.25
2001-06-01,98.4474420972258,100.135131990886,0.25
2001-07-01,98.1420208704505,98.7532246491857,0.25
2001-08-01,98.4474420972258,97.3713173074856,0.25
2001-09-01,98.345635021634,95.5642077068008,0.1
2001-10-01,98.345635021634,95.5642077068008,0.1
2001-11-01,97.8365996436752,94.0759998003545,0.1
2001-12-01,97.7347925680835,95.03270488307,0.1
2002-01-01,97.5311784169,94.5012020593392,0.1
2002-02-01,97.0221430389412,95.670508271547,0.1
2002-03-01,97.2257571901247,96.0957105305316,0.1
2002-04-01,97.5311784169,95.9894099657855,0.1
2002-05-01,97.8365996436752,99.8162302966474,0.1
2002-06-01,97.7347925680835,98.6469240844396,0.1
2002-07-01,97.3275642657165,99.3910280376627,0.1
2002-08-01,97.6329854924917,99.8162302966474,0.1
2002-09-01,97.6329854924917,100.454033685124,0.1
2002-10-01,97.4293713413082,100.454033685124,0.1
2002-11-01,97.4293713413082,100.347733120378,0.1
2002-12-01,97.4293713413082,100.241432555632,0.1
2003-01-01,97.123950114533,101.623339897332,0.1
2003-02-01,96.8185288877577,101.188587641087,0.1
2003-03-01,97.123950114533,101.949404089516,0.1
2003-04-01,97.4293713413082,100.536459256719,0.1
2003-05-01,97.6329854924917,101.840716025455,0.1
2003-06-01,97.3275642657165,100.971211512964,0.1
2003-07-01,97.123950114533,101.405963769209,0.1
2003-08-01,97.3275642657165,100.427771192658,0.1
2003-09-01,97.4293713413082,103.471036986375,0.1
2003-10-01,97.4293713413082,104.666605691049,0.1
2003-11-01,96.9203359633495,104.883981819172,0.1
2003-12-01,97.0221430389412,104.557917626988,0.1
2004-01-01,96.8185288877577,106.40561471603,0.1
2004-02-01,96.8185288877577,106.079550523846,0.1
2004-03-01,97.0221430389412,105.53611020354,0.1
2004-04-01,97.0221430389412,107.383807292582,0.1
2004-05-01,97.123950114533,107.492495356643,0.1
2004-06-01,97.3275642657165,107.818559548827,0.1
2004-07-01,97.0221430389412,109.340192445686,0.1
2004-08-01,97.123950114533,107.818559548827,0.1
2004-09-01,97.4293713413082,108.144623741011,0.1
2004-10-01,97.938406719267,106.079550523846,0.1
2004-11-01,97.7347925680835,107.383807292582,0.1
2004-12-01,97.2257571901247,105.970862459785,0.1
2005-01-01,97.0221430389412,108.470687933195,0.1
2005-02-01,96.7167218121659,108.470687933195,0.1
2005-03-01,97.0221430389412,108.796752125379,0.1
2005-04-01,97.123950114533,109.231504381624,0.1
2005-05-01,97.2257571901247,108.361999869134,0.1
2005-06-01,96.8185288877577,108.796752125379,0.1
2005-07-01,96.7167218121659,108.144623741011,0.1
2005-08-01,96.8185288877577,108.144623741011,0.1
2005-09-01,97.123950114533,109.014128253502,0.1
2005-10-01,97.123950114533,108.03593567695,0.1
2005-11-01,96.7167218121659,110.209696958176,0.1
2005-12-01,96.8185288877577,110.644449214422,0.1
2006-01-01,96.9203359633495,110.970513406605,0.1
2006-02-01,96.6149147365742,110.753137278483,0.1
2006-03-01,96.8185288877577,111.513953726912,0.1
2006-04-01,97.0221430389412,113.579026944077,0.1
2006-05-01,97.3275642657165,111.840017919096,0.1
2006-06-01,97.3275642657165,113.361650815954,0.1
2006-07-01,97.0221430389412,113.7964030722,0.4
2006-08-01,97.7347925680835,114.122467264384,0.4
2006-09-01,97.7347925680835,114.013779200322,0.4
2006-10-01,97.5311784169,114.448531456568,0.4
2006-11-01,97.0221430389412,115.535412097181,0.4
2006-12-01,97.123950114533,115.644100161242,0.4
2007-01-01,96.9203359633495,114.448531456568,0.4
2007-02-01,96.4113005853907,115.100659840936,0.75
2007-03-01,96.7167218121659,115.100659840936,0.75
2007-04-01,97.0221430389412,114.774595648752,0.75
2007-05-01,97.3275642657165,116.078852417487,0.75
2007-06-01,97.123950114533,116.078852417487,0.75
2007-07-01,97.0221430389412,116.187540481549,0.75
2007-08-01,97.5311784169,119.122118211204,0.75
2007-09-01,97.5311784169,117.383109186223,0.75
2007-10-01,97.7347925680835,118.904742083082,0.75
2007-11-01,97.6329854924917,117.709173378407,0.75
2007-12-01,97.7347925680835,118.361301762775,0.75
2008-01-01,97.6329854924917,119.165301756329,0.75
2008-02-01,97.4293713413082,119.473222432702,0.75
2008-03-01,97.8365996436752,118.241539727211,0.75
2008-04-01,97.7347925680835,117.728338599922,0.75
2008-05-01,98.5492491728175,118.344179952668,0.75
2008-06-01,99.0582845507763,115.162332963481,0.75
2008-07-01,99.2618987019598,115.162332963481,0.75
2008-08-01,99.567319928735,110.954083719718,0.75
2008-09-01,99.567319928735,112.391046876125,0.75
2008-10-01,99.4655128531433,109.927681465141,0.5
2008-11-01,98.5492491728175,102.845505908563,0.5
2008-12-01,98.1420208704505,94.5316476464938,0.3
2009-01-01,97.6329854924917,86.9362709626279,0.3
